Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
SALTINHO;0,0;0,0;0,0;0,0
SANTA MARIA DA SERRA;0,0;0,0;0,0;0,0
SAO PEDRO;0,0;0,0;0,0;0,0
FARTURA;0,0;0,0;0,0;0,0
MANDURI;0,0;0,0;0,0;0,0
OLEO;0,0;0,0;0,0;0,0
PIRAJU;0,0;0,3;1,73;2,03
SARUTAIA;0,0;0,0;0,0;0,0
TAGUAI;0,0;0,0;0,0;0,0
TEJUPA;0,0;0,51;1,44;1,95
TIMBURI;0,0;0,0;0,0;0,0
ANALANDIA;0,0;0,0;0,0;0,0
ARARAS;0,0;0,0;0,27;0,27
LEME;0,0;0,24;0,9;1,1400000000000001
PIRASSUNUNGA;0,0;0,04;0,23;0,27
PORTO FERREIRA;0,0;0,0;1,66;1,66
SANTA CRUZ DA CONCEICAO;0,0;0,0;0,0;0,0
SANTA CRUZ DAS PALMEIRAS;0,0;0,0;0,25;0,25
SANTA RITA DO PASSA QUATRO;0,0;0,0;0,23;0,23
ALFREDO MARCONDES;0,0;0,0;2,36;2,36
ALVARES MACHADO;0,0;0,0;3,54;3,54
ANHUMAS;0,0;0,0;0,0;0,0
CAIABU;0,0;0,0;1,22;1,22
INDIANA;0,0;0,0;0,0;0,0
MARTINOPOLIS;0,0;0,0;0,0;0,0
PIRAPOZINHO;0,0;0,09;0,18;0,27
PRESIDENTE PRUDENTE;0,0;0,08;0,03;0,11
REGENTE FEIJO;0,0;0,0;0,0;0,0
SANTO EXPEDITO;0,0;0,0;0,0;0,0
TACIBA;0,0;0,0;0,0;0,0
BARRA DO TURVO;0,0;0,0;0,0;0,0
CAJATI;0,0;0,06;0,0;0,06
CANANEIA;0,0;0,0;0,0;0,0
ELDORADO;0,0;0,0;0,0;0,0
JACUPIRANGA;0,0;0,0;0,0;0,0
PARIQUERA-ACU;0,0;0,0;0,0;0,0
REGISTRO;0,0;0,11;0,06;0,16999999999999998
SETE BARRAS;0,0;0,43;1,42;1,8499999999999999
ALTINOPOLIS;0,0;0,0;0,0;0,0
BATATAIS;0,0;0,7;3,88;4,58
BRODOWSKI;0,0;1,08;3,35;4,43
CAJURU;0,0;0,11;1,51;1,62
CASSIA DOS COQUEIROS;0,0;0,0;0,0;0,0
CRAVINHOS;0,0;0,0;0,11;0,11
LUIS ANTONIO;0,0;0,0;0,0;0,0
RIBEIRAO PRETO;0,02;0,14;0,34;0,5
SANTA CRUZ DA ESPERANCA;0,0;0,0;0,0;0,0
SANTA ROSA DE VITERBO;0,0;0,0;0,0;0,0
SANTO ANTONIO DA ALEGRIA;0,0;0,0;0,0;0,0
SAO SIMAO;0,0;0,0;0,0;0,0
SERRA AZUL;0,0;0,0;2,76;2,76
SERRANA;0,0;0,0;0,0;0,0
CAIUA;0,0;0,0;0,0;0,0
EMILIANOPOLIS;0,0;0,0;0,0;0,0
MARABA PAULISTA;0,0;0,0;0,0;0,0
PIQUEROBI;0,0;-0,01;0,0;-0,01
PRESIDENTE BERNARDES;0,0;0,0;0,35;0,35
PRESIDENTE EPITACIO;0,0;0,0;0,0;0,0
PRESIDENTE VENCESLAU;0,0;0,0;0,0;0,0
RIBEIRAO DOS INDIOS;0,0;0,0;0,0;0,0
SANTO ANASTACIO;0,0;0,0;0,0;0,0
SANTO ANDRE;0,0;0,08;1,07;1,1500000000000001
