Municipio;Total Abandono Escolar
PALMEIRA D'OESTE;0,0
OUROESTE;0,0
OURO VERDE;0,0
ORINDIUVA;0,0
ORIENTE;0,0
IBIRAREMA;0,0
PEDRINHAS PAULISTA;0,0
GUARANI D'OESTE;0,0
GUARACI;0,0
GUAPIARA;0,0
GUAIRA;0,0
GUAICARA;0,0
GLICERIO;0,0
GAVIAO PEIXOTO;0,0
PEDRANOPOLIS;0,0
PEDRA BELA;0,0
PEDERNEIRAS;0,0
PAULO DE FARIA;0,0
PAULICEIA;0,0
FLORÃNEA;0,0
FLORIDA PAULISTA;0,0
FLOREAL;0,0
FLORA RICA;0,0
FERNAO;0,0
FERNANDO PRESTES;0,0
FARTURA;0,0
PINHALZINHO;0,0
PINDORAMA;0,0
PEREIRAS;0,0
PEREIRA BARRETO;0,0
PORANGABA;0,0
POPULINA;0,0
PONTES GESTAL;0,0
PONTALINDA;0,0
PONTAL;0,0
POMPEIA;0,0
PLATINA;0,0
OSCAR BRESSANE;0,0
PIRANGI;0,0
PIRAJUI;0,0
AGUAS DA PRATA;0,0
GASTAO VIDIGAL;0,0
GABRIEL MONTEIRO;0,0
ESTRELA DO NORTE;0,0
ESTRELA D'OESTE;0,0
ESTIVA GERBI;0,0
ESPIRITO SANTO DO TURVO;0,0
AGUAS DE LINDOIA;0,0
EMILIANOPOLIS;0,0
EMBAUBA;0,0
ELISIARIO;0,0
AGUAS DE SANTA BARBARA;0,0
DUMONT;0,0
AGUAS DE SAO PEDRO;0,0
PRESIDENTE ALVES;0,0
PRATANIA;0,0
PRACINHA;0,0
POTIRENDABA;0,0
POTIM;0,0
DOURADO;0,0
DOLCINOPOLIS;0,0
DOIS CORREGOS;0,0
DOBRADA;0,0
DIRCE REIS;0,0
CRUZALIA;0,0
AGUDOS;0,0
RIBEIRA;0,0
RESTINGA;0,0
REGENTE FEIJO;0,0
REDENCAO DA SERRA;0,0
RANCHARIA;0,0
QUEIROZ;0,0
QUATA;0,0
ALAMBARI;0,0
EUCLIDES DA CUNHA PAULISTA;0,0
SALES;0,0
SAGRES;0,0
RUBIACEA;0,0
ROSEIRA;0,0
ALTO ALEGRE;0,0
RINOPOLIS;0,0
RIBEIRAO DOS INDIOS;0,0
PIRATININGA;0,0
COSMORAMA;0,0
CORUMBATAI;0,0
COROADOS;0,0
