ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;1;66,67;33,33;0;98,11;1,89;0;95,13;4,87;0
2024;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;1;99,41;0,59;0;98,13;1,87;0;95,83;4,17;0
2024;ITAPECERICA DA SERRA;SAO LOURENCO DA SERRA;1;0;0;0;99,88;0,12;0;99,45;0,55;0
2024;TAUBATE;SAO LUIZ DO PARAITINGA;1;0;0;0;0;0;0;100;0;0
2024;BOTUCATU;SAO MANUEL;1;0;0;0;97,58;2,42;0;95,45;4,55;0
2024;ITAPETININGA;SAO MIGUEL ARCANJO;1;0;0;0;99,94;0,06;0;99,89;0,11;0
2024;CENTRO;SAO PAULO;1;99,73;0,27;0;97,71;2,29;0;96,48;3,52;0
2024;CENTRO OESTE;SAO PAULO;1;99,9;0,1;0;97,19;2,81;0;90,21;9,79;0
2024;CENTRO SUL;SAO PAULO;1;99,62;0,38;0;97,07;2,93;0;94,64;5,36;0
2024;LESTE 1;SAO PAULO;1;99,87;0,13;0;97,79;2,21;0;93,6;6,4;0
2024;LESTE 2;SAO PAULO;1;99,72;0,28;0;97,36;2,64;0;93,81;6,19;0
2024;LESTE 3;SAO PAULO;1;99,51;0,49;0;96,91;3,09;0;94,49;5,51;0
2024;LESTE 4;SAO PAULO;1;99,73;0,27;0;97,2;2,8;0;93,63;6,37;0
2024;LESTE 5;SAO PAULO;1;99,89;0,11;0;96,17;3,83;0;89,27;10,73;0
2024;NORTE 1;SAO PAULO;1;99,85;0,15;0;97,18;2,82;0;93,37;6,63;0
2024;NORTE 2;SAO PAULO;1;99,75;0,25;0;97,21;2,79;0;94,22;5,78;0
2024;SUL 1;SAO PAULO;1;99,68;0,32;0;96,59;3,41;0;94,01;5,99;0
2024;SUL 2;SAO PAULO;1;99,44;0,56;0;97,1;2,9;0;93,9;6,09;0,01
2024;SUL 3;SAO PAULO;1;99,67;0,33;0;94,95;5,05;0;93,19;6,81;0
2024;PIRACICABA;SAO PEDRO;1;0;0;0;100;0;0;99,85;0,15;0
2024;OURINHOS;SAO PEDRO DO TURVO;1;0;0;0;96,79;3,21;0;94,9;5,1;0
